etablissement_id_paysage;uo_lib;nom_court;sigle;type_d_etablissement;typologie_d_universites_et_assimiles;secteur_d_etablissement;vague_contractuelle;localisation;url;coordonnees;uai;anciens_codes_uai;siret;siren;rna;identifiant_wikidata;element_wikidata;identifiant_idref;identifiant_eter;identifiant_ror;element_ror;identifiant_pic;identifiant_orgref;identifiant_isni;element_isni;element_fundref;date_creation;texte_de_ref_creation_lib;texte_de_ref_creation;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;reg_id_old;reg_nom_old;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;numero_telephone_uai;statut_juridique_court;statut_juridique_long;compte_facebook;compte_twitter;compte_instagram;compte_flickr;compte_pinterest;flux_rss;compte_linkedin;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_youtube;compte_vimeo;compte_dailymotion;compte_github;wikipedia;wikipedia_en;scanr;hal;mooc;article;uo_lib_officiel;uo_lib_en;url_en;url_cn;url_es;url_de;url_it;universites_fusionnees;etablissement_experimental;champ_recherche;inscrits;inscrits_2010;inscrits_2011;inscrits_2012;inscrits_2013;inscrits_2014;inscrits_2015;inscrits_2016;inscrits_2017;inscrits_2018;inscrits_2019;inscrits_2020;inscrits_2021;inscrits_2022
vxHYt;Avignon Université;;AU;Université;Université pluridisciplinaire hors santé;public;Vague C;Provence-Alpes-Côte d'Azur>Aix-Marseille>Vaucluse>Avignon;https://univ-avignon.fr/;43.95005,4.81789;0840685N;;19840685200204;198406852;;Q2033119;https://www.wikidata.org/entity/Q2033119;026369044;FR0236;00mfpxb84;https://ror.org/00mfpxb84;999576465;6881164;0000 0001 2190 2394;http://www.isni.org/0000 0001 2190 2394;;1984-07-26;Décret n° 84-723 du 17 juillet 1984 fixant la classification d'établissements publics à caractère scientifique, culturel et professionnel;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000503527;84007;Avignon;UU00754;Avignon;D084;Vaucluse;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;R93;Provence-Alpes-Côte d'Azur;;74 rue Louis Pasteur;;;84029;Avignon CEDEX 1;France;+33490162500;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/Universite.Avignon/;https://twitter.com/univavignon;https://www.instagram.com/univavignon/;https://www.flickr.com/photos/univavignon;;https://univ-avignon.fr/adminsite/webservices/export_rss.jsp?objet=actualite&SELECTION=0001&TRI_DATE=DATE_ASC;https://www.linkedin.com/school/avignon-universit%C3%A9/;https://www.franceculture.fr/conferences/universite-davignon-et-des-pays-de-vaucluse;;;;https://www.youtube.com/user/UnivAvignon;https://vimeo.com/univavignon;;;;;;;;à;Université d'Avignon;Avignon University;;;;;;;;"Université d'Avignon;Université d'Avignon et des pays de Vaucluse;Avignon Université;University of Avignon and the Vaucluse;Avignon University;AU";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=vxHYt;6601;6581;6755;6478;6519;6716;6789;6677;6954.0;6946.0;7086.0;6787.0;6346.0
vH695;Centre des hautes études de la construction;;CHEC;École;;privé;Vague E;Île-de-France>Créteil>Val-de-Marne>Paris>Arcueil;https://chec.fr/;48.800733327820986,2.327309846878052;0942283W;;78461701100076;784617011;;Q97293012;https://www.wikidata.org/entity/Q97293012;;;014e1xw86;https://ror.org/014e1xw86;;;;;;1957-09-01;;;94003;Arcueil;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;R11;Île-de-France;;1 rue Paul Bert;;;94110;ARCUEIL;France;+33149691770;Association loi de 1901;Association loi de 1901;;;;;;;;;;;;;;;;;;;;;au;;;;;;;;;;"Centre des hautes études de la construction;CHEC";;;;;;;;;;;;;;
YPOQX;École nationale du génie de l'eau et de l'environnement de Strasbourg;;ENGEES;École;;public;Vague C;Grand Est>Strasbourg>Bas-Rhin>Strasbourg;https://engees.unistra.fr/;48.580797,7.758744;0670189S;;"19670189000028;19670189000010";196701890;;Q3578160;https://www.wikidata.org/entity/Q3578160;199743169;FR0147;02jhjzd11;https://ror.org/02jhjzd11;;;0000 0000 8652 7065;http://www.isni.org/0000 0000 8652 7065;;1952;;;67482;Strasbourg;UU67701;Strasbourg;D067;Bas-Rhin;A15;Strasbourg;R44;Grand Est;R42;Alsace;;1 Cour des Cigarières;;;67000;Strasbourg;France;+33388248282;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/engees.ecole/;https://twitter.com/engees_ecole;https://www.instagram.com/engees.ecole/;;;;https://www.linkedin.com/school/ecole-nationale-du-g%C3%A9nie-de-l'eau-et-de-l'environnement-de-strasbourg/;;;;;https://www.youtube.com/channel/UCqa56QW-5hqqN_fjU1vV-Ew;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/196701890;https://hal.archives-ouvertes.fr/ENGEES;;à l';;National School for Water and Environmental Engineering;https://engees.unistra.fr/en/;;;https://engees.unistra.fr/de/;;;;"École nationale du génie de l'eau et de l'environnement de Strasbourg;National School for Water and Environmental Engineering;ENGEES";;;;;;;;;;;;;;
IlIW8;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;;ISAE-ENSMA;École;;public;Vague B;Nouvelle-Aquitaine>Poitiers>Vienne>Poitiers>Chasseneuil-du-Poitou;https://www.ensma.fr/;46.661,0.362013;0860073M;;19860073600021;198600736;;Q391044;https://www.wikidata.org/entity/Q391044;028024400;FR0238;04jx68594;https://ror.org/04jx68594;996067878;8102323;0000 0001 2178 9782;http://www.isni.org/0000 0001 2178 9782;;1948-04-03;;;86062;Chasseneuil-du-Poitou;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R75;Nouvelle-Aquitaine;R54;Poitou-Charentes;Téléport 2;1 avenue Clément Ader;;BP 40109;86961;Futuroscope Chasseneuil CEDEX;France;+33549498080;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/isae.ensma86/;https://twitter.com/isae_ensma;;;;;https://www.linkedin.com/school/ecole-nationale-sup%C3%A9rieure-de-m%C3%A9canique-et-d'a%C3%A9rotechnique/;;;;;https://www.youtube.com/channel/UCjckbOkZI2k3oiG68yoOZ9w;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/198600736;;;à l';;;https://www.ensma.fr/en/;;;;;;;"École nationale supérieure de mécanique et d'aérotechnique de Poitiers;ISAE-ENSMA";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=IlIW8;631;629;661;673;689;712;723;716;722.0;771.0;728.0;718.0;768.0
AKszJ;École navale;;EN;Grand établissement;;public;Vague B;Bretagne>Rennes>Finistère>Lanvéoc;https://www.ecole-navale.fr/;48.279263,-4.417857;0290124C;;15000096600013;150000966;;Q974394;https://www.wikidata.org/entity/Q974394;032760639;;030txnd05;https://ror.org/030txnd05;912460959;4530642;0000 0000 9054 452X;http://www.isni.org/0000 0000 9054 452X;;1827;;;29120;Lanvéoc;CR29120;Lanvéoc;D029;Finistère;A14;Rennes;R53;Bretagne;R53;Bretagne;BCRM Brest;;;CC 600;29200;Brest CEDEX 9;France;;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/Ecole.navale;https://twitter.com/Ecole_navale;;;;;https://www.linkedin.com/school/ecole-navale/;;;;;https://www.youtube.com/channel/UCvETPmbfcbZgSHlNPEHhZ-w;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/150000966;;;à l';;French naval academy;;;;;;;;"École navale;French naval academy;EN";;;;;;;;;;;;;;
tJRnj;École spéciale des travaux publics, du bâtiment et de l'industrie;ESTP;;École;;privé;Vague E;Île-de-France>Créteil>Val-de-Marne>Paris>Cachan;https://www.estp.fr/;48.79422078629043,2.328532934188843;"0753607N;0942340H";;32500211100012;325002111;;Q273483;https://www.wikidata.org/entity/Q273483;027534138;FR0272;04nwg1t42;https://ror.org/04nwg1t42;;;0000 0000 8649 3272;http://www.isni.org/0000 0000 8649 3272;;1891;;;94016;Cachan;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;R11;Île-de-France;;28 avenue du Président Wilson;;;94230;Cachan;France;+33149085650;Association loi de 1901;Association loi de 1901;https://www.facebook.com/estpparis;https://twitter.com/estpparis;https://www.instagram.com/estp_paris/;;;;https://www.linkedin.com/edu/school?id=12401&trk=edu-cp-title;;;;;https://www.youtube.com/channel/UC5iiwbtq1MklHFo0kYuofcg;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/325002111;;;à l';;;https://www.estp.fr/en;;;;;;;"École spéciale des travaux publics, du bâtiment et de l'industrie;ESTP";;;;;;;;;;;;;;
A2hM0;Institut des relations publiques et de la communication d’Angers;Ircom;IRCOM;École;;privé;;Pays de la Loire>Nantes>Maine-et-Loire>Angers>Les Ponts-de-Cé;https://www.ircom.fr/;47.44304,-0.53222;0492062A;;32949147600019;329491476;;Q74181405;https://www.wikidata.org/entity/Q74181405;02960480X;;;;;;;;;1984;;;49246;Les Ponts-de-Cé;UU49701;Angers;D049;Maine-et-Loire;A17;Nantes;R52;Pays de la Loire;R52;Pays de la Loire;;23 rue Edouard Guinel;;CS 10059;49136;Les Ponts-de-Cé CEDEX;France;;Association loi de 1901;Association loi de 1901;https://www.facebook.com/IrcomGroupe;https://twitter.com/Ircom_Groupe;;;;;https://www.linkedin.com/school/1044488?pathWildcard=1044488;;;;;https://www.youtube.com/user/groupeIrcom;;;;;;;;;à l';;;;;;;;;;"Institut des relations publiques et de la communication d’Angers;Ircom;IRCOM";;;;;;;;;;;;;;
hfCvd;Sciences Po Lyon;IEP de Lyon;IEP Lyon;Autre établissement;;public;Vague A;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Lyon 7e;https://www.sciencespo-lyon.fr/;45.7471,4.8354;0690173N;;19690173000024;196901730;;Q2253344;https://www.wikidata.org/entity/Q2253344;028888537;;02h3vcz70;https://ror.org/02h3vcz70;;;0000 0004 1806 159X;http://www.isni.org/0000 0004 1806 159X;;1948-05-06;;;69387;Lyon 7e;UU00760;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;;14 avenue Berthelot;;;69007;Lyon;France;+33437283800;EPA;Établissement public national à caractère administratif;https://www.facebook.com/ScPoLyon/;https://twitter.com/scpolyon;;;;https://www.sciencespo-lyon.fr/rss/actualites.xml;https://www.linkedin.com/school/institut-d'etudes-politiques-de-lyon/;;;;;;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/196901730;;;à;Institut d'études politiques de Lyon;;;;;;;;;"Institut d'études politiques de Lyon;Sciences Po Lyon;IEP de Lyon;IEP Lyon";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=hfCvd;1615;1590;1515;1491;1504;1540;1531;1577;1662.0;1714.0;1694.0;1780.0;1726.0
l4myZ;Institut protestant de théologie;IPT;;École;;privé;;Île-de-France>Paris>Paris 14e;https://ipt-edu.fr/;48.834229,2.337221;0753605L;;31238101500014;312381015;W751035223;Q3064314;https://www.wikidata.org/entity/Q3064314;029412706;;;;;;;;;1877;;;75114;Paris 14e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;83 boulevard Arago;;;75014;Paris;France;+33143316164;Association loi de 1901;Association loi de 1901;;;;;;;;;;;;;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/312381015;;;à l';;;;;;;;;;"Institut protestant de théologie;IPT";;;;;;;;;;;;;;
2Nnrv;Institut supérieur de l'aéronautique et de l'espace;ISAE-SUPAERO;;Grand établissement;;public;Vague A;Occitanie>Toulouse>Haute-Garonne>Toulouse;https://www.isae-supaero.fr/;43.5656,1.47408;0312760G;"0310146R;0311587G";13000427800011;130004278;;Q155446;https://www.wikidata.org/entity/Q155446;026523493;FR0041;04gyj6s21;https://ror.org/04gyj6s21;999892491;;;;;2007-09-27;Décret n° 2007-1384 du 24 septembre 2007 portant création de l'Institut supérieur de l'aéronautique et de l'espace;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000469118/;31555;Toulouse;UU00758;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Occitanie;R73;Midi-Pyrénées;;10 avenue Édouard Belin;;BP 54032;31055;Toulouse CEDEX 4;France;+33562178080;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/isae.supaero;https://twitter.com/ISAE_officiel;;;;;https://www.linkedin.com/school/isae/;;;;;https://www.youtube.com/user/ISAEcom;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/130004278;;https://www.fun-mooc.fr/fr/etablissements/isae-supaero/;à l';;;https://www.isae-supaero.fr/en/;;;;;;;"Institut supérieur de l'aéronautique et de l'espace;ISAE-SUPAERO";;;;;;;;;;;;;;
