osm_type,osm_id,nom,adresse,rue,code_postal,ville,lat,lon,tags
node,3961977753,Foyer La Ruche,,,,,48.8796348,2.3661921,"{'building': 'dormitory', 'contact:website': 'http://www.unme-asso.com/foyersUNME/Paris-LaRuche.html', 'name': 'Foyer La Ruche', 'operator': ""Union Nationale des Maisons d'étudiants"", 'source': 'survey'}"
node,4858131856,Résidence Universitaire Pierre de Coubertin,,,,,48.8411812,2.3488358,"{'building': 'dormitory', 'name': 'Résidence Universitaire Pierre de Coubertin'}"
node,5693912914,L,,,,,48.8480811,2.3322988,"{'building': 'dormitory', 'name': 'L', 'website': 'https://www.institutbossuet.fr/'}"
node,9819514817,Twenty Campus Canal De L'ourcq,,,,,48.8946905,2.3717061,"{'building': 'dormitory', 'contact:city': 'Paris', 'contact:housenumber': '182', 'contact:phone': '+33 3 20 12 25 89', 'contact:postcode': '75019', 'contact:street': ""Rue d'Aubervilliers"", 'contact:website': 'https://www.twenty-campus.com/fr/residences/twenty-campus-canal-de-lourcq/', 'name': ""Twenty Campus Canal De L'ourcq"", 'official_name': ""Twenty Campus Paris Canal De L'ourcq"", 'opening_hours': 'Mo-Fr 09:00-12:00, 14:00-18:00', 'ref:FR:SIRET': '41063462000505', 'website': 'https://www.twenty-campus.com/fr/residences/tc-canal-de-lourcq/'}"
node,11462329171,Twenty Campus Paris Saint Antoine,,,,,48.8495779,2.3890101,"{'building': 'dormitory', 'contact:city': 'Paris 11eme Arrondissement', 'contact:housenumber': '275', 'contact:phone': '+33 3 20 12 25 89', 'contact:postcode': '75011', 'contact:street': 'Rue Du Faubourg Saint Antoine', 'name': 'Twenty Campus Paris Saint Antoine', 'opening_hours': 'Mo-Fr 09:00-12:00, 14:00-18:00', 'ref:FR:SIRET': '41063462000034', 'website': 'https://www.twenty-campus.com/fr/residences/tc-paris-saint-antoine/'}"
way,28754151,Maison des Industries Agricoles et Alimentaires,,,,,48.8191114,2.3429813,"{'architect': 'Francis Thieulin;Xavier de Vigan', 'building': 'dormitory', 'building:levels': '4', 'name': 'Maison des Industries Agricoles et Alimentaires', 'opening_hours': 'Mo-Th 09:15-12:30,16:00-19:30', 'roof:levels': '0', 'roof:shape': 'flat', 'source': 'Direction générale des finances publiques - année 2010', 'start_date': '1956', 'website': 'https://www.ciup.fr/maisons/maison-des-industries-agricoles-et-alimentaires/', 'wikidata': 'Q112966834'}"
way,28754392,Maison Internationale AgroParisTech,,,,,48.819176,2.3416556,"{'addr:housenumber': '7B', 'alt_name': ""Maison de l'Institut National Agronomique"", 'architect': 'René Patouillard', 'building': 'dormitory', 'building:colour': 'white', 'building:levels': '5', 'name': 'Maison Internationale AgroParisTech', 'opening_hours': 'Mo-Fr 09:00-00:00', 'phone': '+33 1 40 78 50 30', 'roof:colour': 'grey', 'roof:levels': '1', 'roof:shape': 'gabled', 'source': 'Direction générale des finances publiques - année 2010', 'start_date': '1928', 'website': 'https://www.ciup.fr/maisons/maison-internationale-agroparistech/', 'wikidata': 'Q27826707'}"
way,28754627,Maison de l'Italie,,,,,48.8192471,2.3423734,"{'addr:housenumber': '7A', 'architect': 'Piero Portaluppi', 'building': 'dormitory', 'building:colour': 'pink', 'building:levels': '5', 'name': ""Maison de l'Italie"", 'name:etymology:wikidata': 'Q38', 'opening_hours': 'Mo-Fr 09:00-13:00', 'phone': '+33 1 44 16 63 00', 'source': 'Direction générale des finances publiques - année 2010', 'start_date': '1958', 'website': 'https://www.ciup.fr/maisons/maison-de-litalie/'}"
way,28840944,Fondation Biermans-Lapôtre,,,,,48.8194736,2.3407433,"{'architect': 'Armand Guéritte', 'building': 'dormitory', 'building:levels': '6', 'building:material': 'brick', 'name': 'Fondation Biermans-Lapôtre', 'roof:colour': 'grey', 'roof:levels': '1', 'roof:shape': 'hipped', 'source': 'Direction générale des finances publiques - année 2010', 'start_date': '1926', 'website': 'https://www.ciup.fr/maisons/fondation-biermans-lapotre/', 'wikidata': 'Q3075395', 'wikipedia': 'fr:Fondation Biermans-Lapôtre'}"
way,28841632,Pavillon Administratif,,,,,48.8199791,2.3384277,"{'building': 'dormitory', 'building:levels': '4', 'name': 'Pavillon Administratif', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2014'}"
