RCR;ARK;geo;Services proposés;catalogue_url_ligne;nomrue;commune;codepostal;nometabaff;nometablissement;nomtutelle;Type d'établissement;Code type d'établissement;Heures d'ouverture;Fermeture annuelle;notecondaccess;noteaccessetab;Conditions d'accès;Code Conditions d'accès;Télécopie;Site web;Téléphone;Description des collections;Volumétrie
771316201;/06871/0026942;48.8123920447, 3.08614547116;consultation sur place,prêt à domicile,réservation de documents,catalogue en ligne,accès bases de données externes,compte utilisateur/lecteur;http://www.bibliotheque.coulommiers.fr/search.php;Avenue Georges Pompidou;Coulommiers;77120;;Bibliothèque municipale de Coulommiers;;Bibliothèque médiathèque municipale ou intercommunale;1;"mardi: 10h-12h 	14h-17h
mercredi: 10h-18h,
vendredi: 14h-19h,
samedi: 10h-12h et 14h-18h";;;;Tous publics;T;;http://coulommiers.agate-sigb.com;01.64.75.39.80;"Collection encyclopédique de lecture publique
Fonds ancien : 14 300 volumes
Fonds local : 945 volumes
Fonds musical : 250 oeuvres pour piano, du début du XIXe s.";Volumétrie globale : 41 000 volumes
751065204;/06871/0029737;48.8566784, 2.3390568;consultation sur place,prêt à domicile,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies,autre service,PEB international : photocopies;;11 quai de Conti;Paris;75270;;France. Direction des monnaies et médailles * Bibliothèque;FRANCE (MINISTERE DE L'ECONOMIE ET DES FINANCES);Bibliothèque ou centre de documentation spécialisé;3;sur rendez-vous;24 decembre au 1er janvier, aout;etudiants,professeurs,chercheurs dans les domaines de : l'art de la gravure en medaille,la technologie,la politique et l'economie politique,la numismatique.;;Accès réservé;R;01.40.46.57.05;http://www.monnaiedeparis.fr/fonds_doc/index.htm;01.40.46.55.36;Les fonds spéciaux et anciens traitent d'histoire européenne, de législation monétaire et de numismatique, fonds Babut de Rosan sur la législation des monnaies, collection de registres de fabrication.;"Volumétrie globale : 60 000 documents
Monographies (25 000); Recueils (34 000); Périodiques (52); Textes manuscrits (1 200); Cartes et Plans (500); Estampes (110); Photographies (300)"
913866201;/06871/0027247;48.5644502231, 2.42189513674;consultation sur place,prêt à domicile,reproduction,prêt entre bibliothèques,réservation de documents,élaboration de bibliographies,portage de documents à domicile,catalogue en ligne,autre service;http://www.mennecy.fr/main.php?r=08&page=08040300.1;7 avenue de Villeroy  - Orangerie II;Mennecy;91541;;Bibliothèque municipale Madeleine de l'Aubépine;;Bibliothèque médiathèque municipale ou intercommunale;1;"Lundi 	15h00 - 18h00
Mardi 	Fermeture au public
Mercredi 	9h00 - 18h00
Jeudi 	Fermeture au public
Vendredi 	14h00 - 18h30
Samedi 	9h00 - 16h00";;;Horaires réduits en juillet et août;Tous publics;T;;http://www.mennecy.fr/;01.64.99.91.27;Collection encyclopédique et multimédia de lecture publique;Environ 26 000 documents : livres, magazines, Cd-roms
751055203;;48.8493963, 2.3447743;consultation sur place,reproduction,prêt entre bibliothèques,renseignements bibliographiques,catalogue en ligne,autre service;http://omnia.college-de-france.fr;11, place Marcelin Berthelot;Paris;75231;"[""CNRS-Unité de recherche associée 1062"", ""IES""]";Collège de France;COLLEGE DE FRANCE;Bibliothèque ou centre de documentation spécialisé;3;lundi au vendredi : 9h00-18h00;Se reporter au site web du Collège de France;Réservé chercheurs qualifiés étudiants en Master sur recommandation de leur directeur de recherche et sur autorisation du professeur. Toute personne, temporairement, sous certaines conditions.;;Accès réservé;R;01.44.27.16.03;https://www.college-de-france.fr/site/bibliotheques-archives/Bibliotheque-dassyriologie-et-detudes-ouest-semitiques.htm;01.44.27.13.50;"La bibliothèque possède un fonds spécialisé sur la linguistique chamitosémitique, l'épigraphie ouest et sud sémitique et l'archéologie du Proche-Orien, de l'Afrique du nord et de l'Ethiopie; une partie importante du fonds concerne l'étude de l'Ancien Testament et des manuscrits de Qoumrân. - Sont intégrés dans les collections les fonds légués par André Dupont-Sommer, Jean Starcky et Marcel Cohen.
L'Institut d'études sémitiques conserve également les archives scientifiques de Jean Starcky et de Marcel Cohen.";Périodiques (100)
951272103;/06871/0027915;49.0434256, 2.0851189;consultation sur place,prêt à domicile,reproduction,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies,catalogue en ligne,accès bases de données externes;http://cerfeuil-web.bibu2.u-cergy.fr;2, avenue Adolphe-Chauvin;Cergy-Pontoise;95302;;Université de Cergy-Pontoise;UNIVERSITE DE CERGY-PONTOISE;Bibliothèque ou institut universitaire;2;Lundi au vendredi 8h30-18h * Horaires réduits 9h-13h du 2 au 20 juillet;Vacances d'été du 23 juillet au 31 août * Vacances universitaires;Tous publics,;;Tous publics;T;01.34.25.65.62;http://www.u-cergy.fr/fr/bibliotheque.html;01.34.25.65.81;;
751055221;/06871/0029731;48.8420595, 2.3561966;consultation sur place,prêt entre bibliothèques,réservation de documents,accès bases de données externes;;36, rue Geoffroy Saint-Hilaire;Paris;75005;;Centre de recherche sur la conservation des collections. Bibliothèque;"[""CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (FRANCE)"", ""MUSEUM NATIONAL D'HISTOIRE NATURELLE (PARIS)""]";Bibliothèque ou centre de documentation spécialisé;3;lundi, mardi, vendredi de 9H a 15H45;;chercheurs, etudiants, restaurateurs;;Accès réservé;R;;;01.45.87.60.12;;
751052106;/06871/0027811;48.8464406, 2.3551613;consultation sur place,prêt à domicile,reproduction,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies,catalogue en ligne,accès bases de données externes;http://catalogue-bibliotheques.upmc.fr/;4, place Jussieu;Paris;75251;"[""Service Commun de la Documentation (SCD) de l'université Paris 6- Documentation professionnelle (DP)"", ""PARIS6-BUPMC- Documentation professionnelle (DP)""]";Université Pierre et Marie Curie. Bibliothèque Universitaire Pierre et Marie Curie * Bibliothèque de Documentation professionnelle;"[""UNIVERSITE PIERRE ET MARIE CURIE (PARIS)"", ""CONSORTIUM COUPERIN""]";Bibliothèque ou institut universitaire;2;Lundi au Vendredi 9h -19h;"Vacances de Noël: 2 semaines ; vacances d'été: de la fin juillet à la fin août (5 semaines)";"Accès libre pour la consultation sur place ; prêt à domicile réservé aux personnels de l'UPMC";;Tous publics;T;01.44.27.43.69;http://www.jubil.upmc.fr;01.44.27.62.73;- Les périodiques antérieurs à 1974 ne sont pas accessibles car conservés dans un magasin amianté.;
751196205;/06871/00210811;48.8850067, 2.3674628;consultation sur place,prêt à domicile,catalogue en ligne,accès internet,compte utilisateur/lecteur;http://b14-sigbermes.apps.paris.fr/medias/medias.aspx?INSTANCE=EXPLOITATION;2 Rue du Département;Paris;75019;;Bibliothèque Hergé;VILLE DE PARIS;Bibliothèque médiathèque municipale ou intercommunale;1;"Jeunesse : mar. jeu. 16h-18h30, mer. sam. 10h-13h/14h-18h, ven. 14h-18h30
Discothèque : mar. jeu. ven. 12h-18h30, mer. sam. 10h-13h/14-18h";Fermeture dimanche et lundi;;Accès handicapés;Tous publics;T;01.40.38.04.36;http://bibliotheque.equipement.paris.fr/Biblioth%C3%A8que_Herg%C3%A9;01.40.38.18.08;"La bibliothèque comprend 540 ouvrages en langue étrangère et 3670 bandes dessinées.
Partitions et méthodes d'apprentissage musicale -";"Volumétrie globale : 46980 volumes
Monographies (27800); Périodiques (80); Cassette audio (1300); Cassette audio (15920); Partitions (1860)"
751132309;/06871/00225;48.8274497, 2.3851721;consultation sur place,prêt à domicile,reproduction,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,catalogue en ligne,accès bases de données externes;http://194.199.203.252/loris/jsp/system/win_main.jsp;3, quai Panhard et Levassor;Paris;75013;ENSAPVS;Ecole nationale supérieure d'architecture Paris-Val de Seine;FRANCE (MINISTERE DE LA CULTURE ET DE LA COMMUNICATION, DIRECTION GENERALE DES PATRIMOINES);Autres;12;Lundi, Mardi, Mercredi, Jeudi 10h-19h * Vendredi 10h-17h;Vacances de Noël, vacances de printemps;;;Tous publics;T;;http://www.paris-valdeseine.archi.fr/http://www.paris-valdeseine.archi.fr/services/doc.php;01-72-69-63-64;;
916925401;/06871/00213800;48.6811911, 2.2014124;prêt entre bibliothèques,renseignements bibliographiques,élaboration de bibliographies,accès bases de données externes,autre service;;6-8 rue de la Réunion;Courtaboeuf;91955;SFC;Société française de céramique. Documentation;;Bibliothèque ou centre de documentation spécialisé;3;9h-12h, 13h-16h;Pas de fermeture;Membres de la Société. Autres : service payant.;;Accès réservé;R;01.64.46.20.28;http://www.ceramique.fr;"01.56.56.70.00 ; 01.56.56.70.76";;
